Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMMVCH01,Immunizations - Vaccine order management and inventory distribution - Child immunizations - Performed by state agency directly or via contract,"Performed and contracted out variables were combined into one variable
*This is the case for all activities in 2019",AIMMVCH01,Immunizations —vaccine order management and inventory distribution - Child immunization-Performed by state agency directly,AIMMVCH01,Immunizations —vaccine order management and inventory distribution - Child immunization-Performed by state agency directly,B1B1_2010,Immunizations —vaccine order management and inventory distribution - Child immunization-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q1B1,Immunizations —vaccine order management and inventory distribution - Child immunizations - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AIMMVCH02,Immunizations —vaccine order management and inventory distribution - Child immunization-Contracted out by state/territorial public health agency,AIMMVCH02,Immunizations —vaccine order management and inventory distribution - Child immunization-Contracted out by state/territorial public health agency,,,added questions in 2012,Q1B2,Immunizations —vaccine order management and inventory distribution - Child immunizations - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1B2_2010,Immunizations —vaccine order management and inventory distribution - Child immunization - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q1B4,Immunizations —vaccine order management and inventory distribution - Child Immunization -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1B3_2010,Immunizations —vaccine order management and inventory distribution - Child immunization - Performed by local health departments led by a local employee,deleted in 2012,Q1B5,Immunizations —vaccine order management and inventory distribution - Child immunizations - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1B4_2010,Immunizations —vaccine order management and inventory distribution - Child immunization - Performed by a not-for-profit entity,deleted in 2012,Q1B6,Immunizations —vaccine order management and inventory distribution - Child immunization - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1B5_2010,Immunizations —vaccine order management and inventory distribution - Child immunization - Performed by a for-profit entity,deleted in 2012,Q1B7,Immunizations —vaccine order management and inventory distribution - Child immunizations -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1B6_2010,Immunizations —vaccine order management and inventory distribution - Child immunization - Performed by another state/territorial agency,deleted in 2012,Q1B3,Immunizations —vaccine order management and inventory distribution -Child immunization - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q1B8,Immunizations —vaccine order management and inventory distribution - Childimmunizations -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMMVIN01,Immunizations - Vaccine order management and inventory distribution - International travel immunizations - Performed by state/territorial health agency directly or via contract,,AIMMVIN01,Immunizations —vaccine order management and inventory distribution - International travel immunization-Performed by state/territorial health agency directly,AIMMVIN01,Immunizations —vaccine order management and inventory distribution - International travel immunization-Performed by state/territorial health agency directly,B1C1_2010,Immunizations —vaccine order management and inventory distribution - International travel immunization-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q1C1,Immunizations —vaccine order management and inventory distribution - International Travel Immunizations - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AIMMVIN02,Immunizations —vaccine order management and inventory distribution - International travel immunization-contracted out by state/territorial health agency ,AIMMVIN02,Immunizations —vaccine order management and inventory distribution - International travel immunization-contracted out by state/territorial health agency ,,,added questions in 2012,Q1C2,Immunizations —vaccine order management and inventory distribution - International Travel Immunizations - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1C2_2010,Immunizations —vaccine order management and inventory distribution - International travel immunization - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q1C4,Immunizations —vaccine order management and inventory distribution - International Travel Immunizations -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1C3_2010,Immunizations —vaccine order management and inventory distribution - International travel immunization - Performed by local health departments led by a local employee,deleted in 2012,Q1C5,Immunizations —vaccine order management and inventory distribution - International Travel Immunizations - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1C4_2010,Immunizations —vaccine order management and inventory distribution - International travel immunization - Performed by a not-for-profit entity,deleted in 2012,Q1C6,Immunizations —vaccine order management and inventory distribution - International Travel Immunizations - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1C5_2010,Immunizations —vaccine order management and inventory distribution - International travel immunization - Performed by a for-profit entity,deleted in 2012,Q1C7,Immunizations —vaccine order management and inventory distribution - International Travel Immunizations -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B1C6_2010,Immunizations —vaccine order management and inventory distribution -International travel immunization - Performed by another state/territorial agency,deleted in 2012,Q1C3,Immunizations —vaccine order management and inventory distribution -International Travel Immunizations - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q1C8,Immunizations —vaccine order management and inventory distribution - International Travel Immunizations -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMMAAD01,Immunizations - Administration of vaccine to population - Adult immunizations - Performed by state/territorial health agency directly or via contract,,AIMMAAD01,Immunizations—administration of vaccine to population - Adult immunization-Performed by state/territorial health agency directly,AIMMAAD01,Immunizations—administration of vaccine to population - Adult immunization-Performed by state/territorial health agency directly,B02A1_2010,Immunizations—administration of vaccine to population - Adult immunization-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q2A1,Immunizations —administration of vaccine to population - Adult immunizations - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AIMMAAD02,Immunizations—administration of vaccine to population - Adult immunization-contracted out by state/territorial health agency ,AIMMAAD02,Immunizations—administration of vaccine to population - Adult immunization-contracted out by state/territorial health agency ,,,added questions in 2012,Q2A2,Immunizations —administration of vaccine to population - Adult immunizations - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02A2_2010,Immunizations —administration of vaccine to population - Adult immunization - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q2A4,Immunizations —administration of vaccine to population - Adult immunization -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02A3_2010,Immunizations —administration of vaccine to population- Adult immunization - Performed by local health departments led by a local employee,deleted in 2012,Q2A5,Immunizations —administration of vaccine to population - Adult immunizations - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02A4_2010,Immunizations —administration of vaccine to population - Adult immunization - Performed by a not-for-profit entity,deleted in 2012,Q2A6,Immunizations —administration of vaccine to population - Adult immunization - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02A5_2010,Immunizations —administration of vaccine to population - Adult immunization - Performed by a for-profit entity,deleted in 2012,Q2A7,Immunizations —administration of vaccine to population - Adult immunizations -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02A6_2010,Immunizations —administration of vaccine to population - Adult immunization - Performed by another state/territorial agency,deleted in 2012,Q2A3,Immunizations —administration of vaccine to population - Adult immunization - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q2A8,Immunizations —administration of vaccine to population - Adult immunizations -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMMACH01,Immunizations - Administration of vaccine to population - Child immunizations - Performed by state/territorial health agency directly or via contract,,AIMMACH01,Immunizations—administration of vaccine to population - Child immunization-Performed by state/territorial health agency directly,AIMMACH01,Immunizations—administration of vaccine to population - Child immunization-Performed by state/territorial health agency directly,B02B1_2010,Immunizations—administration of vaccine to population - Child immunization-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q2B1,Immunizations —administration of vaccine to population - Child immunizations - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AIMMACH02,Immunizations—administration of vaccine to population - Child immunization-contracted out by state/territorial health agency,AIMMACH02,Immunizations—administration of vaccine to population - Child immunization-contracted out by state/territorial health agency,,,added questions in 2012,Q2B2,Immunizations —administration of vaccine to population -Child immunizations - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02B2_2010,Immunizations —administration of vaccine to population - Child immunization - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q2B4,Immunizations —administration of vaccine to population - Child immunization -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02B3_2010,Immunizations —administration of vaccine to population - Child immunization - Performed by local health departments led by a local employee,deleted in 2012,Q2B5,Immunizations —administration of vaccine to population - Child immunizations - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02B4_2010,Immunizations —administration of vaccine to population - Child immunization - Performed by a not-for-profit entity,deleted in 2012,Q2B6,Immunizations —administration of vaccine to population - Child immunization - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02B5_2010,Immunizations —administration of vaccine to population - Child immunization - Performed by a for-profit entity,deleted in 2012,Q2B7,Immunizations —administration of vaccine to population - Child immunizations -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02B6_2010,Immunizations —administration of vaccine to population - Child immunization - Performed by another state/territorial agency,deleted in 2012,Q2B3,Immunizations —administration of vaccine to population - Child immunization - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q2B8,Immunizations —administration of vaccine to population - Child immunizations -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMMAIN01,Immunizations - Administration of vaccine to population - International travel immunizations - Performed by the state/territorial health agency directly or via contract,,AIMMAIN01,Immunizations—administration of vaccine to population - International travel immunization-Performed by the state/territorial health agency directly,AIMMAIN01,Immunizations—administration of vaccine to population - International travel immunization-Performed by the state/territorial health agency directly,B02C1_2010,Immunizations—administration of vaccine to population - International travel immunization-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q2C1,Immunizations —administration of vaccine to population - International Travel immunizations - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AIMMAIN02,Immunizations—administration of vaccine to population - International travel immunization-contracted out by the state/territorial health agency,AIMMAIN02,Immunizations—administration of vaccine to population - International travel immunization-contracted out by the state/territorial health agency,,,added questions in 2012,Q2C2,Immunizations —administration of vaccine to population - International Travel immunizations - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMMCLAR,"Immunizations - Use this space to provide any additional clarifications, if necessary.",Added to 2019 survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02C2_2010,Immunizations —administration of vaccine to population - International travel immunization - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q2C4,Immunizations —administration of vaccine to population - International Travel immunization -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02C3_2010,Immunizations —administration of vaccine to population - International travel immunization - Performed by local health departments led by a local employee,deleted in 2012,Q2C5,Immunizations —administration of vaccine to population - International Travelimmunizations - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02C4_2010,Immunizations —administration of vaccine to population - International travel immunization - Performed by a not-for-profit entity,deleted in 2012,Q2C6,Immunizations —administration of vaccine to population - International Travel immunization - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02C5_2010,Immunizations —administration of vaccine to population - International travel immunization - Performed by a for-profit entity,deleted in 2012,Q2C7,Immunizations —administration of vaccine to population - International Travel immunizations -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B02C6_2010,Immunizations —administration of vaccine to population - International travel immunization - Performed by another state/territorial agency,deleted in 2012,Q2C3,Immunizations —administration of vaccine to population - International Travel immunization - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q2C8,Immunizations —administration of vaccine to population - International Travel immunizations -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRAST01,Specific diseases or conditions - Asthma screening - Performed by state/territorial health agency directly or via contract,,ASCRAST01,Screening for diseases/conditions - Asthma-Performed by state/territorial health agency directly,ASCRAST01,Screening for diseases/conditions - Asthma-Performed by state/territorial health agency directly,B03A1_2010,Screening for diseases/conditions - Asthma-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q3A1,Screening for diseases/conditions - Asthma - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRAST02,Screening for diseases/conditions - Asthma-contracted out by state/territorial health agency ,ASCRAST02,Screening for diseases/conditions - Asthma-contracted out by state/territorial health agency ,,,added questions in 2012,Q3A2,Screening for diseases/conditions - Asthma - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03A2_2010,Screening for diseases/conditions - Asthma - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3A4,Screening for diseases/conditions - Asthma -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03A3_2010,Screening for diseases/conditions - Asthma - Performed by local health departments led by a local employee,deleted in 2012,Q3A5,Screening for diseases/conditions - Asthma - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03A4_2010,Screening for diseases/conditions - Asthma - Performed by a not-for-profit entity,deleted in 2012,Q3A6,Screening for diseases/conditions - Asthma - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03A5_2010,Screening for diseases/conditions - Asthma - Performed by a for-profit entity,deleted in 2012,Q3A7,Screening for diseases/conditions - Asthma -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03A6_2010,Screening for diseases/conditions - Asthma - Performed by another state/territorial agency,deleted in 2012,Q3A3,Screening for diseases/conditions - Asthma - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q3A8,Screening for diseases/conditions - Asthma -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRBLL01,Specific diseases or conditions - Blood Lead screening - Performed by state/territorial health agency directly or via contract,,ASCRBLL01,Screening for diseases/conditions - Blood Lead-Performed by state/territorial health agency directly,ASCRBLL01,Screening for diseases/conditions - Blood Lead-Performed by state/territorial health agency directly,B03B1_2010,Screening for diseases/conditions - Blood Lead-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q3B1,Screening for diseases/conditions - Blood lead - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRBLL02,Screening for diseases/conditions - Blood Lead-contracted out by state/territorial health agency ,ASCRBLL02,Screening for diseases/conditions - Blood Lead-contracted out by state/territorial health agency ,,,added questions in 2012,Q3B2,Screening for diseases/conditions - Blood lead - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03B2_2010,Screening for diseases/conditions - Blood Lead - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3B4,Screening for diseases/conditions - Blood lead -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03B3_2010,Screening for diseases/conditions - Blood Lead - Performed by local health departments led by a local employee,deleted in 2012,Q3B5,Screening for diseases/conditions - Blood lead - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03B4_2010,Screening for diseases/conditions - Blood Lead - Performed by a not-for-profit entity,deleted in 2012,Q3B6,Screening for diseases/conditions - Blood lead - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03B5_2010,Screening for diseases/conditions - Blood Lead - Performed by a for-profit entity,deleted in 2012,Q3B7,Screening for diseases/conditions - Blood lead -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03B6_2010,Screening for diseases/conditions - Blood Lead - Performed by another state/territorial agency,deleted in 2012,Q3B3,Screening for diseases/conditions - Blood lead - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRBMI01,Specific diseases or conditions - Body Mass Index (BMI) screening - Performed by state/territorial health agency directly or via contract,,ASCRBMI01,Screening for diseases/conditions -Body Mass Index-Performed by state/territorial health agency directly,ASCRBMI01,Screening for diseases/conditions -Body Mass Index-Performed by state/territorial health agency directly,,,added questions in 2012,Q3B8,Screening for diseases/conditions - Blood lead -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRBMI02,Screening for diseases/conditions -Body Mass Index-contracted out by state/territorial health agency,ASCRBMI02,Screening for diseases/conditions -Body Mass Index-contracted out by state/territorial health agency,,,added questions in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRBCC01,Specific diseases or conditions - Breast and Cervical Cancer screening -Performed by state/territorial health agency directly or via contract,,ASCRBCC01,Screening for diseases/conditions -Breast and Cervical Cancer-Performed by state/territorial health agency directly,ASCRBCC01,Screening for diseases/conditions -Breast and Cervical Cancer-Performed by state/territorial health agency directly,B03C1_2010,Screening for diseases/conditions -Breast and Cervical Cancer-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q3C1,Screening for diseases/conditions - Breast and cervical cancer - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRBCC02,Screening for diseases/conditions -Breast and Cervical Cancer-contracted out by state/territorial health agency,ASCRBCC02,Screening for diseases/conditions -Breast and Cervical Cancer-contracted out by state/territorial health agency,,,added questions in 2012,Q3C2,Screening for diseases/conditions -Breast and cervical cancer - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03C2_2010,Screening for diseases/conditions -Breast and Cervical Cancer - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3C4,Screening for diseases/conditions -Breast and cervical cancer -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03C3_2010,Screening for diseases/conditions -Breast and Cervical Cancer - Performed by local health departments led by a local employee,deleted in 2012,Q3C5,Screening for diseases/conditions -Breast and cervical cancer - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03C4_2010,Screening for diseases/conditions -Breast and Cervical Cancer - Performed by a not-for-profit entity,deleted in 2012,Q3C6,Screening for diseases/conditions - Breast and cervical cancer - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03C5_2010,Screening for diseases/conditions -Breast and Cervical Cancer - Performed by a for-profit entity,deleted in 2012,Q3C7,Screening for diseases/conditions - Breast and cervical cancer -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03C6_2010,Screening for diseases/conditions -Breast and Cervical Cancer - Performed by another state/territorial agency,deleted in 2012,Q3C3,Screening for diseases/conditions -Breast and cervical cancer - Performed by another state governmental agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q3C8,Screening for diseases/conditions - Breast and cervical cancer -Not available in state,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCRCRC01,Specific diseases or conditions - Colon/Rectum Cancer screening - Performed by state/territorial health agency directly or via contract,,ASCRCRC01,Screening for diseases/conditions -Colon/Rectum Cancer-Performed by state/territorial health agency directly,ASCRCRC01,Screening for diseases/conditions -Colon/Rectum Cancer-Performed by state/territorial health agency directly,B03D1_2010,Screening for diseases/conditions -Colon/Rectal Cancer-Performed by state/territorial public health agency ,"response option in 2012 added ""directly""",Q3D1,Screening for diseases/conditions - Colon/rectum cancer - Performed by state public health agency directly,"response option in 2010 deleted ""directly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ASCRCRC02,Screening for diseases/conditions -Colon/Rectum Cancer-contracted out by state/territorial health agency,ASCRCRC02,Screening for diseases/conditions -Colon/Rectum Cancer-contracted out by state/territorial health agency,,,added questions in 2012,Q3D2,Screening for diseases/conditions - Colon/rectum cancer - Contracted (or grants) by state public health agency,deleted in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03D2_2010,Screening for diseases/conditions -Colon/Rectal Cancer - Performed by local health departments led by a state/territorial employee,deleted in 2012,Q3D4,Screening for diseases/conditions - Colon/rectum cancer -Performed by local public health agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03D3_2010,Screening for diseases/conditions -Colon/Rectal Cancer - Performed by local health departments led by a local employee,deleted in 2012,Q3D5,Screening for diseases/conditions - Colon/rectum cancer - Performed by other local governmental agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03D4_2010,Screening for diseases/conditions -Colon/Rectal Cancer - Performed by a not-for-profit entity,deleted in 2012,Q3D6,Screening for diseases/conditions - Colon/rectum cancer - Performed by a non-governmental entity,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B03D5_2010,Screening for diseases/conditions -Colon/Rectal Cancer - Performed by a for-profit entity,deleted in 2012,Q3D7,Screening for diseases/conditions - Colon/rectum cancer -Performed by a federal agency,changed wording in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
