Code 2019 Only,Questions in 2019
AREGIMM01,Registry maintenance - Child Immunizations - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
AREGDIA01,Registry maintenance - Diabetes - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
AREGHPC01,Registry maintenance - Hepatitis C - Performed by state/territorial health agency directly or via contract
,
AREGOTH01,Registry maintenance - Other - Performed by state/territorial health agency directly or via contract
,
AREGOTH01A,Registry maintenance - Other (specify)
ATRTAST01,Specific diseases or conditions - Asthma treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTBLL01,Specific diseases or conditions - Blood Lead treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTBCC01,Specific diseases or conditions - Breast and Cervical Cancer treatment -Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTCRC01,Specific diseases or conditions - Colon/Rectum Cancer treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTCHD01,Specific diseases or conditions - Cardiovascular Disease treatment -Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTDIA01,Specific diseases or conditions - Diabetes treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTHBP01,Specific diseases or conditions - High Blood Pressure treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTHIV01,Specific diseases or conditions - HIV/AIDS treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTOBE01,Specific diseases or conditions - Obesity treatment - Performed by state/territorial health agency directly or via contract
,
ATRTOTC01,Specific diseases or conditions - Other Cancer treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTSTD01,Specific diseases or conditions - Other STDs treatment - Performed by state/territorial health agency directly or via contract
,
,
,
,
,
,
,
ATRTTUB01,Specific diseases or conditions -Tuberculosis treatment - Performed by state/territorial health agency directly or via contract
ASCRCLAR,"Specific diseases or conditions - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AMCHNUT01,"Maternal, child, and adolescent health services - Child nutrition (daycare providers) - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHSPN01,"Maternal, child, and adolescent health services - Other services for children and/or youth with special healthcare needs - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHSCS01,"Maternal, child, and adolescent health services - Comprehensive School Health Clinical Services - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHEIS01,"Maternal, child, and adolescent health services - Early Intervention Services for Children - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHEPS01,"Maternal, child, and adolescent health services - EPSDT - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHFMP01,"Maternal, child, and adolescent health services - Family Planning - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHHMV01,"Maternal, child, and adolescent health services -Maternal and child health home visits-Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
AMCHNAC01,"Maternal, child, and adolescent health services - Non-WIC nutrition assessment and counseling - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHOBS01,"Maternal, child, and adolescent health services - Obstetrical care - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHPRE01,"Maternal, child, and adolescent health services - Prenatal care - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
AMCHPCC01,"Maternal, child, and adolescent health services - Comprehensive primary care clinics for children - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHSHS01,"Maternal, child, and adolescent health services - School health services (non-clinical) - Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHWCS01,"Maternal, child, and adolescent health services - Well child services -Performed by state/territorial health agency directly or via contract"
,
,
,
,
,
,
,
AMCHWIC01,"Maternal, child, and adolescent health services - WIC - Performed by state/territorial health agency directly or via contract or via contract"
,
AMCHPTR01,"Maternal, child, and adolescent health services - Perinatal treatment -Performed by state/territorial health agency directly or via contract"
AMCHREG01,"Maternal, child, and adolescent health services - Perinatal regionalization -Performed by state/territorial health agency directly or via contract"
AMCHCLAR,"Maternal, child, and adolescent health services - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
ACLNCPS01,Injury and violence - Child protection services/medical evaluation - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ACLNPCC01,Other clinical health services provided to individuals - Comprehensive primary care clinics for adults - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ACLNCOR01,Correctional system - Comprehensive correctional healthcare - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ACLNDVV01,Injury and violence - Domestic violence victims services - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ACLNMHE01,Behavioral health - Mental illness clinical preventive services - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ACLNMHT01,Behavioral health - Mental illness treatment - Performed by state/territorial public health agency directly or via contract
,
ABEHHAR01,Behavioral health - Other harm reduction strategies - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ACLNORL01,Other clinical health services provided to individuals - Oral health -Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ACLNSAV01,Injury and violence - Sexual assault victims services - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ACLNSAE01,Behavioral health - Substance misuse clinical prevention services - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ACLNSAT01,Behavioral health - Substance misuse treatment services - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ADATADB01,"Data collection, epidemiology and surveillance activities - Adolescent behavior - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
ADATBRF01,"Data collection, epidemiology and surveillance activities - Behavioral risk factors - Performed by state public health agency directly or via contract"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ADATCAI01,"Data collection, epidemiology and surveillance activities - Cancer incidence -Performed by state public health agency directly or via contract"
,
,
,
,
,
,
,
ADATCHD01,"Data collection, epidemiology and surveillance activities - Chronic diseases - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
ADATCID01,"Data collection, epidemiology and surveillance activities -Communicable/infectious diseases - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ADATINJ01,"Data collection, epidemiology and surveillance activities -Injury-Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
ADATMOR01,"Data collection, epidemiology and surveillance activities - Morbidity data-Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
ADATPRF01,"Data collection, epidemiology and surveillance activities - Perinatal events or risk factors-Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ADATSYS01,"Data collection, epidemiology and surveillance activities -Syndromic surveillance-Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ADATVTS01,"Data collection, epidemiology and surveillance activities - Vital statistics-Performed by state public health agency directly or via contract"
,
ADATMMB01,"Data collection, epidemiology and surveillance activities - Maternal morbidity - Performed by state/territorial public health agency directly or via contract"
ADATNAS01,"Data collection, epidemiology and surveillance activities - Neonatal Abstinence Syndrome - Performed by state/territorial public health agency directly or via contract"
ADATCLAR,"Data collection, epidemiology, and surveillance activities - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
APOPABS01,"Maternal, child and adolescent health services - Abstinence only education -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
APOPAST01,Specific diseases or conditions  - Asthma population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPDIA01,Specific diseases or conditions - Diabetes population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPHIV01,Specific diseases or conditions - HIV population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPHYP01,Specific diseases or conditions - High blood pressure population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPINJ01,Injury and violence - Injury population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
APOPNUT01,Specific diseases or conditions - Nutrition population-based primary prevention (obesity) - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPPHY01,Specific diseases or conditions - Physical Activity population-based primary prevention (obesity) - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPSEX01,"Maternal, child and adolescent health services - Sex education - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
APOPSTD01,Specific diseases or conditions - Sexually transmitted disease counseling and partner notification - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPSKC01,Specific diseases or conditions - Skin cancer population-based primary prevention- Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPSUB01,Behavioral Health - Other drugs and alcohol population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPSUI01,Behavioral Health - Suicide population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPTOB01,Behavioral Health - Tobacco population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
APOPPRG01,"Maternal, child, and adolescent health services - Unintended pregnancy population-based primary prevention - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
APOPVIO01,Injury and violence - Violence population-based primary prevention - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
AINSACU01,"Regulation, inspection and/or licensing activities - Acupuncture - Performed by state public health agency directly or via contract"
,
,
,
,
,
,
,
AINSASL01,"Regulation, inspection and/or licensing activities -Assisted Living - Performed by state public health agency directly or via contract"
,
,
,
,
,
,
,
AINSBCH01,"Regulation, inspection and/or licensing activities - Beaches - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSBMW01,"Regulation, inspection and/or licensing activities -Biomedical Waste - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSBPT01,"Regulation, inspection and/or licensing activities - Body Piercing and Tattoo - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSCRV01,"Regulation, inspection and/or licensing activities - Campgrounds & RVs - Performed by state public health agency directly or via contract"
,
,
,
,
,
,
,
AINSCCF01,"Regulation, inspection and/or licensing activities- Childcare facilities -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
AINSCLN01,"Regulation, inspection and/or licensing activities - Clinics - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSCOS01,"Regulation, inspection and/or licensing activities - Cosmetology - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSEMS01,"Regulation, inspection and/or licensing activities - Emergency Medical Services - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSFPR01,"Regulation, inspection and/or licensing activities - Food processing -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSFSE01,"Regulation, inspection and/or licensing activities - Food service establishments - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSHPC01,"Regulation, inspection and/or licensing activities - Hospice - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSHPL01,"Regulation, inspection and/or licensing activities - Hospitals - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSHOM01,"Regulation, inspection and/or licensing activities - Hotels/motels -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSHOU01,"Regulation, inspection and/or licensing activities - Housing (inspections) -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSJPR01,"Regulation, inspection and/or licensing activities - Jails/prisons - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSLAB01,"Regulation, inspection and/or licensing activities - Laboratories - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSLDI01,"Regulation, inspection and/or licensing activities - Lead inspection -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AINSLTC01,"Regulation, inspection and/or licensing activities - Long-term care facilities - Performed by state/territorial public health agency directly or via contract "
,
,
,
,
,
,
,
AINSMIG01,"Regulation, inspection and/or licensing activities - Migrant Housing -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSMLK01,"Regulation, inspection and/or licensing activities - Milk Processing -Performed by state/territorial public health agency directly or via contract  "
,
,
,
,
,
,
,
AINSMOB01,"Regulation, inspection and/or licensing activities - Mobile homes -Performed by state public health agency directly or via contract"
,
,
,
,
,
,
,
AINSNUR01,"Regulation, inspection and/or licensing activities - Nursing homes -Performed by state/territorial public health agency directly or via contract "
,
,
,
,
,
,
,
AINSOCC01,"Regulation, inspection and/or licensing activities - Occupational health -Performed by state/territorial public health agency directly or via contract "
,
,
,
,
,
,
,
,
AINSPRW01,"Regulation, inspection and/or licensing activities - Private drinking water -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSPUW01,"Regulation, inspection and/or licensing activities - Public drinking water -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSSCH01,"Regulation, inspection and/or licensing activities - Schools - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSSEP01,"Regulation, inspection and/or licensing activities - Septic systems -Performed by state/territorial public health agency directly or via contract "
,
,
,
,
,
,
,
AINSSHE01,"Regulation, inspection and/or licensing activities - Shellfish - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSSMK01,"Regulation, inspection and/or licensing activities - Smoke-free ordinances -Performed by state/territorial public health agency directly or via contract "
,
,
,
,
,
,
,
AINSSWD01,"Regulation, inspection and/or licensing activities - Solid waste disposal sites - Performed by state/territorial public health agency directly or via contract "
,
,
,
,
,
,
,
AINSSWH01,"Regulation, inspection and/or licensing activities -Solid waste haulers - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSSWP01,"Regulation, inspection and/or licensing activities - Swimming pools (public) - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSTAN01,"Regulation, inspection and/or licensing activities -Tanning salons -Performed by state public health agency directly or via contract "
,
,
,
,
,
,
,
AINSTOB01,"Regulation, inspection and/or licensing activities - Tobacco retailers -Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSTRM01,"Regulation, inspection and/or licensing activities - Trauma system designation-Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AINSOTH01,"Regulation, inspection and/or licensing activities - Other facilities (specify) - Performed by state/territorial public health agency directly or via contract"
,
AINSOTH01A,"Regulation, inspection and/or licensing activities - Other facilities (specified) - Performed by state/territorial public health agency directly or via contract"
AINSCLAR,"Regulation, inspection and/or licensing activities - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
,
ALICDEN01,Professional licensure - Dentists - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ALICNUR01,Professional licensure- Nurses (any level) - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ALICPHM01,Professional licensure - Pharmacists - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ALICPHY01,Professional licensure - Physicians - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ALICPHA01,Professional licensure - Physician assistants - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
ALICOTH01,Professional licensure - Other professionals - Performed by state/territorial public health agency directly or via contract 
,
ALICOTH01A,Professional licensure - Other professionals (specify) - Performed by state/territorial public health agency directly or via contract 
ALICCLAR,"Professional licensure - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOEHCUP01,Other environmental health activities - Collection of unused pharmaceuticals - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOEHEPI01,"Data collection, epidemiology, and surveillance activities - Environmental epidemiology - Performed by state/territorial public health agency directly or via contract"
,
,
,
,
,
,
,
AOEHFSE01,Other environmental health activities -Food safety training/education - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
AOEHGWP01,Other environmental health activities - Groundwater protection - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOEHHZM01,Other environmental health activities - Hazmat response - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
AOEHIAQ01,Other environmental health activities - Indoor air quality - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
AOEHLUP01,Other environmental health activities - Land use planning - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOEHOAQ01,Other environmental health activities - Outdoor air quality - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
AOEHPSC01,Other environmental health activities - Poison control - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
AOEHPRW01,Other environmental health activities - Private water supply safety -Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
AOEHPUW01,Other environmental health activities -Public water supply safety - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
AOEHRDT01,Other environmental health activities - Radiation control - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
AOEHRDN01,Other environmental health activities - Radon control - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
AOEHSWP01,Other environmental health activities - Surface water protection - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOEHVEC01,Other environmental health activities - Surface water protection - Performed by state/territorial public health agency directly or via contract 
AOEHCLAR,"Other environmental health activities - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOPHELD01,Other public health activities - Eldercare Services - Performed by state public health agency directly or via contract 
,
,
,
,
,
,
,
AOPHFOR01,Other public health activities - Forensics laboratory - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
AOPHIRB01,Other public health activities - Institutional review board (IRB) - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
AOPHMED01,Other public health activities - Medical examiner - Performed by state/territorial public health agency directly or via contract 
,
,
,
,
,
,
,
AOPHNEE01,Behavioral Health - Syringe and needle exchange and disposal - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
AOPHNCC01,"Correctional system - Limited services in correctional facilities (e.g. STD testing, TB testing, and screening) - Performed by state/territorial public health agency directly or via contract "
ACLINCLAR,"Correctional system - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
AOPHOCC01,Other public health activities - Occupational health/safety - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOPHMIH01,Behavioral Health - State-run behavioral health centers/state-run psychiatric hospitals - Performed by state/territorial public health agency directly or via contract 
ABEHCLAR,"Behavioral Health - Use this space to provide any additional clarifications, if necessary."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AOPHSAF01,Behavioral Health - Substance misuse facilities - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
AOPHTRM01,Other public health activities -Trauma system coordination - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
AOPHVET01,Other public health activities - Veterinarian public health activities - Performed by state/territorial public health agency directly or via contract
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AENGHIE01,Is the state health agency engaged in the process of establishing Health Insurance Exchanges?
,
,
,
,
,
,
,
,
,
AWRKWLL01,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Smoke-free building
AWRKWLL02,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Footage requirements outside of building for smoke-free area
AWRKWLL03,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Smoke-free venues for off-site meetings     
AWRKWLL04,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Healthy eating policies for catered events   
AWRKWLL05,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Healthy vending policy in office building   
AWRKWLL06,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Weight loss or physical activity challenges or incentives for staff    
AWRKWLL07,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Insurance coverage for tobacco cessation programs
AWRKWLL08,"What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Healthy maternity policies (i.e., lactation room, paid maternity leave)"
AWRKWLL09,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Farmer’s market for staff     
AWRKWLL10,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Menu labeling in office building cafeteria     
AWRKWLL11,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Other 
AWRKWLL11A,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-Other (specified)
AWRKWLL12,What components of a worksite wellness program have you implemented at your state/territorial public health agency?-None of the Above
AWRKWLL13,What components of a worksite wellness program have you implemented at your state/territorial public health agency?- Betel nut-free building
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
